raw_facility_type,canonical_facility_type,n_occurrences
CHARITY AID KITCHEN,Charity Aid Kitchen,9
RESTAURANT.BANQUET HALLS,Restaurant,9
COFFEE CART,Cafe,9
REST/GROCERY,Rest/grocery,9
cafeteria,Cafeteria,9
GROCERY STORE/ RESTAURANT,Restaurant,9
CITY OF CHICAGO COLLEGE,City Of Chicago College,9
PANTRY,Pantry,9
RESTUARANT AND BAR,Restaurant,9
NOT-FOR-PROFIT CLUB,Not For Profit,8
FROZEN DESSERT PUSHCARTS,Frozen Desserts Dispenser,8
DISTRIBUTION CENTER,Distribution Center,8
TEACHING SCHOOL,Teaching School,8
VENDING COMMISSARY,Vending Commissary,8
BEFORE AND AFTER SCHOOL PROGRAM,Before And After School Program,8
LIQUOR STORE,Liquor,8
CHARTER SCHOOL CAFETERIA,Cafeteria,8
LIQUOR/GROCERY STORE/BAR,Liquor,8
15 monts to 5 years old,15 Monts To 5 Years Old,8
GROCERY/SERVICE GAS STATION,Grocery Store,8
Poultry Slaughter,Poultry Slaughter,8
meat packing,Meat Packing,8
CULINARY ARTS SCHOOL,Culinary Arts School,8
1023 CHILDERN'S SERVICE S FACILITY,Children's Services Facility,8
REST/ROOFTOP,Rest/rooftop,8
grocery/butcher,Grocery Store,8
youth housing,Youth Housing,7
GYM STORE,Gym Store,7
VFW HALL,Vfw Hall,7
ROOM SERVICE,Room Service,7
HIGH SCHOOL KITCHEN,High School Kitchen,7
1023 CHILDREN'S SERVICES FACILITY,Children's Services Facility,7
school cafeteria,Cafeteria,7
HERBAL LIFE SHOP,Herbal,7
TRUCK,Truck,7
butcher shop,Butcher Shop,7
GROCERY/DRUG STORE,Grocery Store,7
HOSTEL,Hostel,7
fish market,Fish Market,7
Rest/GYM,Rest/gym,7
DRUG/FOOD STORE,Drug/food Store,7
GROCERY STORE / GAS STATION,Grocery Store,7
RESTAURANT/BAKERY,Restaurant,7
GROCERY STORE,Grocery Store,6
CANDY SHOP,Candy Shop,6
THC INFUSED BAKERY,Thc Infused Bakery,6
HERBALIFE/ZUMBA,Herbal,6
HERBAL LIFE,Herbal,6
COFFEE  SHOP,Cafe,6
GAS STATION/FOOD,Gas Station,6
LIQUOR/COFFEE KIOSK,Liquor,6
GROCERY/DELI,Grocery Store,6
JUICE AND SALAD BAR,Juice Bar,6
HERBAL MEDICINE,Herbal,6
HEALTH CARE STORE,Health Care Store,6
GAS STATION/CONVENIENCE STORE,Gas Station,6
CHURCH (SPECIAL EVENTS),Church,6
NORTHERLY ISLAND,Northerly Island,6
DAYCARE COMBO,Daycare Combo,6
MOBILE FROZEN DESSERT VENDOR,Mobile Food,6
GROCERY/CAFE,Grocery Store,6
grocery,Grocery Store,6
WINE TASTING BAR,Wine Tasting Bar,6
banquet hall,Banquet,6
Pool,Pool,6
"DAYCARE 2-6, UNDER 6",Daycare,6
NUTRITION SHAKES,Nutrition Shakes,5
HERBAL DRINKS,Herbal,5
Adult Family Care Center,Adult Family Care Center,5
MOBIL FOOD PREPARED,Mobile Food,5
GAS STATION STORE,Grocery Store,5
private school,School,5
PACKAGED HEALTH FOODS,Packaged Food,5
MILK TEA,Milk Tea,5
SUSHI COUNTER,Sushi Counter,5
theater,Theater,5
POULTRY SLAUGHTER,Poultry Slaughter,5
DRUG STORE/GROCERY,Drug Store,5
DRUG STORE,Drug Store,5
PHARMACY,Pharmacy,5
MFD TRUCK,Mfd Truck,5
EXERCISE AND NUTRITION BAR,Exercise And Nutrition Bar,5
FRENCH MARKET SPACE,French Market Space,5
CHILDERN'S SERVICES  FACILITY,Children's Services Facility,5
GOLF COURSE CONNCESSION STAND,Golf Course Conncession Stand,5
snack shop,Snack Shop,5
SMOKEHOUSE,Smokehouse,5
GAS STATION/STORE GROCERY,Gas Station,5
PACKAGED LIQUOR,Liquor,5
BAR/GRILL,Bar,5
Deli,Deli,5
RIVERWALK CAFE,Riverwalk,5
GAS STATION /GROCERY,Grocery Store,5
grocery & restaurant,Restaurant,5
GROCERY STORE/DELI,Grocery Store,5
GROCERY STORE/RESTAURANT,Restaurant,4
LIVE POULTRY SLAUGHTER,Live Poultry,4
COOKING CLASS,Cooking School,4
LIVE POULTRY SLAUGHTER FACILITY,Live Poultry,4
MOBILPREPARED FOOD VENDOR,Mobile Food,4
FOOD PANTRY,Pantry,4
HERBAL REMEDY,Herbal,4
GROCERY & LIQUOR STORE,Grocery Store,4
BUTCHER SHOP,Butcher Shop,4
hooka lounge,Hooka Lounge,4
RETAIL,Retail,4
Herabalife,Herbal,4
DOLLAR STORE,Dollar Store,4
Animal Shelter Cafe Permit,Animal Shelter Cafe Permit,4
BEVERAGE/SILVERWARE WAREHOUSE,Beverage/silverware Warehouse,4
PUSH CARTS,Push Carts,4
COLD/FROZEN FOOD STORAGE,Cold/frozen Food Storage,4
GROCERY,Grocery Store,4
CAFE/STORE,Cafe,4
Long-Term Care,Long Term Care,4
RETAIL FOOD/GAS STATION,Retail Food/gas Station,4
dollar store,Dollar Store,4
BOWLING LANES/BANQUETS,Bowling Lanes/banquets,4
DAY CARE 1023,Daycare,4
RETAIL STORE,Grocery Store,4
video store,Video Store,4
RESTAURANT/GROCERY,Restaurant,4
THEATER/BAR,Theater,4
Ice cream,Ice Cream,4
Long-Term Care Facility,Long Term Care,4
MEXICAN CANDY STORE,Mexican Candy Store,4
COFFEE VENDING MACHINE,Cafe,4
WHOLESALE & RETAIL,Wholesale,3
Herbalife Nutrition,Herbal,3
SHAKES/TEAS,Shakes/teas,3
POPCORN CORN,Popcorn Shop,3
GROCERY STORE PLUS WIRELESS STORE,Grocery Store,3
WHOLESALE BAKERY,Wholesale,3
COFFEE AND/OR DRINKS,Cafe,3
liquor store,Liquor,3
ADULT DAY SERVICE,Daycare,3
PASTRY SCHOOL,Pastry School,3
TEST KITCHEN/ STORAGE,Test Kitchen/ Storage,3
NUTRITION..SMOOTHIES/SHAKES,Nutrition Shakes,3
ARCHDIOCESE,Archdiocese,3
JUICE BAR/GROCERY,Grocery Store,3
CULINARY CLASS ROOMS,Cooking School,3
RETAIL FOOD,Retail Food,3
DELI/BAKERY,Deli/bakery,3
MOBILE PUSH CART,Mobile Push Cart,3
DISTILLERY WITH TASTING ROOM,Distillery With Tasting Room,3
FOOD BOOTH,Food Booth,3
PRIVATE CLUB,School,3
GENERAL STORE,General Store,3
CONVENIENCE/GAS STATION,Convenience Store,3
CONVNIENCE STORE,Convenience Store,3
blockbuster video,Blockbuster Video,3
UNUSED STORAGE,Unused Storage,3
Tavern/Bar,Tavern/bar,3
KITCHEN DEMO,Kitchen Demo,3
DOLLAR TREE,Dollar Tree,3
smoothie bar,Smoothie Bar,3
Food Pantry,Pantry,3
PREP INSIDE SCHOOL,Prep Inside School,3
Lounge,Lounge,3
FITNESS STUDIO,Fitness Center,3
CHURCH/SPECIAL EVENT,Church,3
Shuffleboard Club with Bar,Shuffleboard Club With Bar,3
Laundromat,Laundromat,3
CHINESE HERBS,Chinese Herbs,3
PRE PACKAGED,Pre Packaged,3
weight loss program,Weight Loss Program,3
COFFEE/TEA,Cafe,3
HERBALCAL,Herbal,3
fitness center,Fitness Center,3
HEALTH CENTER,Health Center,3
DAYCARE 6 WKS-5YRS,Daycare 6 Wks-5yrs,3
DOLLAR & GROCERY STORE,Dollar & Grocery Store,3
SOCIAL CLUB,Social Club,3
GELATO SHOP,Gelato Shop,3
CELL PHONE STORE,Cell Phone Store,3
TEMPORARY KIOSK,Temporary Kiosk,3
GOLF COURSE,Golf Course,3
PACKAGED FOOD DISTRIBUTION,Packaged Food,3
BAKERY/GROCERY,Bakery/grocery,3
DAY CARE,Daycare,3
1005 NURSING HOME,Nursing Home,3
newsstand,Newsstand,3
coffee,Cafe,3
CATERED EVENTS,Catered Events,3
NON -PROFIT,Non -profit,3
Commissary,Commissary,3
Illegal Vendor,Illegal Vendor,3
TENT RSTAURANT,Tent Rstaurant,3
banquets/room service,Banquet,3
Church Kitchen,Church,3
Mobile Frozen Dessert Dispenser_non  Motorized.,Mobile Food,3
CHURCH/DAY CARE,Church,3
live butcher,Live Butcher,3
watermelon house,Watermelon House,3
PALETERIA /ICECREAM SHOP,Paleteria /icecream Shop,3
ICE CREAM PARLOR,Ice Cream,3
Candy,Candy,3
SOUP KITCHEN AND PANTRY,Soup Kitchen And Pantry,2
CPS (CHARTER),Cps (charter),2
FOOD HALL,Food Hall,2
COFFEE ROASTER,Cafe,2
CULINARY KITCHEN,Culinary Kitchen,2
LIQUOR/GROCERY,Liquor,2
UNLICENSED FACILITY,Unlicensed Facility,2
"BUTCHER, DELI","Butcher, Deli",2
FREE FOOD PANTRY,Pantry,2
COMMIASARY,Commissary,2
GREENHOUSE,Greenhouse,2
ENTERTAINMENT VENUE,Entertainment Venue,2
SHELTER,Shelter,2
CATERED LIQUOR,Catered Liquor,2
RETAIL SALES,Retail Sales,2
TAVERN/PACKAGED GOODS,Tavern/packaged Goods,2
NEWSSTAND,Newsstand,2
COLD STORAGE FACILITY,Cold Storage Facility,2
FLEA MARKET,Flea Market,2
hair salon,Hair Salon,2
Hair Salon,Hair Salon,2
SPA,Spa,2
DOLLAR STORE WITH GROCERY,Dollar Store With Grocery,2
MOBILE FOOD DESSERTS VENDOR,Mobile Food,2
PRIVATE EVENT SPACE,Pantry,2
REPACKAGING PLANT,Repackaging Plant,2
PREPACKAGE MEAL DISTRIBUTOR (1006 Retail),Prepackage Meal Distributor (1006 Retail),2
SERVICE GAS STATION,Gas Station,2
HAIR SALON,Hair Salon,2
GYM,Gym,2
GROCERY STORE /PHARMACY,Grocery Store,2
HELICOPTER TERMINAL,Helicopter Terminal,2
1475 LIQUOR,Liquor,2
EVENT VENU,Event Center,2
GROCERY(GAS STATION),Grocery Store,2
TOBACCO STORE,Tobacco Store,2
VENDING MACHINE,Vending Machine,2
CLOTHING STORE,Clothing Store,2
LIQOUR BREWERY TASTING,Liquor,2
SUMMER FEEDING PREP AREA,Summer Feeding,2
RESTAURANT/BAR/THEATER,Restaurant,2
RETAIL WINE/WINE BAR,Retail Wine/wine Bar,2
