inspection_id,dba_name,address,raw_license,resolved_license,fix_status,candidate_licenses
517326,ST. GEORGE GREEK ORTHODOX CHURCH,2701 N SHEFFIELD AVE,0,,unresolved,
580774,ASSUMPTION BVM CHURCH,2434 S CALIFORNIA AVE,0,,unresolved,
580387,CHICAGO DEPT OF PUBLIC HEALTH,2133 W LEXINGTON ST,0,,unresolved,
545283,NEW BETHLEHEM M B CHURCH,8850 S COTTAGE GROVE AVE,0,,unresolved,
517289,CHURCH OF THE THREE CROSSES,333 W WISCONSIN ST,0,,unresolved,
545273,NEW BETHLEHEM M B CHURCH,8850 S COTTAGE GROVE AVE,0,,unresolved,
579930,Anmol Pan Shop,2504 W DEVON AVE,0,,unresolved,
531270,ANTIOCH MISSIONARY BAPTIST CHURCH,415 W ENGLEWOOD AVE,0,,unresolved,
166312,FOOD TRUCK,1500 S WASHTENAW,0,,unresolved,
347300,TAMMY'S,1118 S WESTERN AVE,0,,unresolved,
531262,ANTIOCH MISSIONARY BAPTIST CHURCH,415 W ENGLEWOOD AVE,0,,unresolved,
579789,Anmol Pan Shop,2504 W DEVON AVE,0,,unresolved,
353283,LUBAVITCH GIRLS HIGH SCHOOL,6350 N WHIPPLE ST,0,,unresolved,
353274,LUBAVITCH GIRLS HIGH SCHOOL,6350 N WHIPPLE ST,0,,unresolved,
565242,PACIFIC GARDEN MISSION,1458 S CANAL ST,0,,unresolved,
531223,ANTIOCH MISSIONARY BAPTIST CHURCH,415 W ENGLEWOOD AVE,0,,unresolved,
491742,SALVATION ARMY,506 N DES PLAINES ST,0,,unresolved,
381257,SALVATION ARMY,509 N UNION AVE,0,,unresolved,
381256,SALVATION ARMY,506 N DES PLAINES ST,0,,unresolved,
491684,HEARTLAND HUMAN CARE INTERNATIONL CHILDREN CTR.,1620 W CHASE ST BLDG 1ST-2NDFL&BSMT,0,,unresolved,
317439,TATE'S SOCIAL CLUB,4827 W CHICAGO AVE,0,,unresolved,
491345,CLUB DE LA FELICIDAD,7125 N CLARK ST,0,2083447,recovered_name_addr,2083447
417330,LITTLE INSPIRATIONS,5480 S KENWOOD ST BLDG,0,,unresolved,
491208,CLUB DE LA FELICIDAD,7125 N CLARK ST,0,2083447,recovered_name_addr,2083447
491192,BY THE HAND CLUB,1000 N SEDGWICK AVE,0,,unresolved,
417318,AVALON COMMUNITY CHURCH/FREEDOM HOME ACADEMY,8100 S DANTE AVE,,,unresolved,
491098,EDGEWATER FOOD PANTRY,6044 N BROADWAY,0,,unresolved,
491062,HEARTLAND HUMAN CARE INTERNATIONL CHILDREN CTR.,1620 W CHASE ST BLDG 1ST-2NDFL&BSMT,0,,unresolved,
317409,CHUBBY'S BEEF,5235 W LAKE ST,0,2084437,recovered_name_addr,2084437
490859,GRILL IN THE PARK,248 W DIVERSEY,0,,unresolved,
401406,TALK UNIQUE INC.,1002 W 63RD ST,0,,unresolved,
489424,MERCY HOME FOR GIRLS,11600 S LONGWOOD DR,0,,unresolved,
487855,DUNKIN DONUTS,2640 W DIVERSEY AVE,0,,unresolved,
486694,MAMA TU'S KORNER STORE,1000 E 76TH ST,0,2083652,recovered_name_addr,2083652
479236,TATE'S SOCIAL CLUB,4827 W CHICAGO AVE,0,,unresolved,
383255,CORNERSTONE COMMUNITY OUTREACH,4626-4652 N CLIFTON AVE,0,,unresolved,
469702,NICOLES SWEET SWEET TOUTH,11946 S HALSTED ST,0,,unresolved,
428391,BEST SUBS,2653 N WASTENAW AVE BLDG,0,,unresolved,
428224,IRISH AMERICAN HERITAGE CENTER,4626 N KNOX AVE,0,40543,recovered_name_addr,40543
347235,SUPERMERCADO GONZALEZ,2158 W 21ST PL,0,,ambiguous,1958950;2055584
335339,VRJ FOOD MART CO.,606 E 61ST ST FL,0,,unresolved,
414002,KIDS CAFE 1 & 2,1060 E 47TH ST,0,,unresolved,
413893,CHARLES HAYES FAMILY INVESTMENT CENTER INC,4455 S DR MARTIN LUTHER KIING JR DR,0,,unresolved,
120587,Stamper Cheese Company/The Cheese People,834-836 W Fulton Market ST,0,,unresolved,
383231,SALVATION  ARMY,800 W LAWRENCE AVE,0,,unresolved,
413631,SUPERMERCADO GONZALEZ,2158 W 21ST PL,0,,ambiguous,1958950;2055584
413465,JW MARRIOT CHICAGO,151 W Adams ST,0,,unresolved,
317283,WILLFEED PEACE KIDS CAFE,6455 S PEORIA ST,0,,unresolved,
383226,SALVATION  ARMY,800 W LAWRENCE AVE,0,,unresolved,
285145,SUPER TACOS LAS ASADAS,1500 S FAIRFIELD AVE,0,,unresolved,
285022,Breakthrough Urban Ministries,3330 W Carroll AVE BLDG,0,,unresolved,
284423,KENNEDY KING COLLEGE CHILD DEVELOPMENT CENTER,710 W 65TH ST,0,,unresolved,
284365,Greater Rock Church,718 S INDEPENDENCE BLVD,0,,unresolved,
284223,ASSUMPTION BVM CHURCH,2434 S CALIFORNIA AVE,0,,unresolved,
284253,NANNY'S WAFFALS HOUSE,8112 S STONY ISLAND AVE,0,,unresolved,
277972,Assumption Greek Orthodox Church,601 S Central AVE,0,,unresolved,
317234,ASSUMPTION BVM CHURCH,2434 S CALIFORNIA AVE,0,,unresolved,
339207,ST DEMETRIOS CHURCH,2727 W WINONA ST,,,unresolved,
277125,FLAV-O-RICIOUS,600 E GRAND AVE,0,1698226,recovered_name_addr,1698226
251297,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,6212 S SANGAMON,0,,unresolved,
256207,DELIVERANCE TEMPLE CHURCH,4014 W 15TH ST,0,,unresolved,
251161,ST.PANCRATIUS,2957 W 40TH PL,0,,unresolved,
205372,COUNTRY CORN,600 E GRAND AVE,0,1697181,recovered_name_addr,1697181
251120,NEW GREATER TRUE LIGHT MISSIONARY BAPTIST CHURCH,5401 W CHICAGO AVE,0,,unresolved,
205371,COUNTRY CORN,600 E GRAND AVE,0,1697181,recovered_name_addr,1697181
251072,"BIBLEWAY APOSTOLIC FAITH CHURCH, INC.",1807 S KOSTNER AVE,0,,unresolved,
